Sf Course C ID,Sf Course C Name,Sf Course C Course Start Date C Date,Sf Course C Course End Date C Date,Sf Course C Final Grade C
a1C36000004tClTEAU,"High School Equivalency Program, GED Prep - English Language Arts",7/11/2017,9/14/2017,D
a1C36000004u07WEAQ,Bus Marketing & Supply Chain,7/6/2017,8/16/2017,
a1C36000004u05rEAA,Bus Marketing & Supply Chain,7/6/2017,8/16/2017,
a1C36000004u0BPEAY,Web Scripting,7/4/2017,9/4/2017,A
a1C36000004u0AYEAY,Information Security,7/4/2017,9/4/2017,A
a1C36000004siBLEAY,Personal Finance,7/1/2017,11/1/2017,
a1C36000004spPfEAI,Medical Terminology,7/1/2017,12/4/2017,Failed
a1C36000004siBkEAI,Introduction to Statistics,7/1/2017,2/15/2018,Failed
a1C36000003v1d6EAA,Term 1,7/1/2017,12/31/2017,Passed
a1C36000004k3wqEAA,College Algebra,7/1/2017,12/4/2017,Failed
a1C36000004t4eiEAA,Women's Realities,6/26/2017,8/20/2017,
a1C36000004t4fQEAQ,Humanities in Digital Culture,6/26/2017,8/20/2017,
a1C36000004t4f6EAA,Applied Mathematics,6/26/2017,8/20/2017,
a1C36000004t4g5EAA,Organizational Comm,6/26/2017,8/20/2017,
a1C36000004t4fAEAQ,Data Analytics,6/26/2017,8/20/2017,
a1C36000004t4hFEAQ,Organizational Comm,6/26/2017,8/20/2017,
a1C36000004t4fMEAQ,Intro to Statistics,6/26/2017,8/20/2017,
a1C36000004t4hiEAA,Student Success Strategies,6/26/2017,8/20/2017,
a1C36000004t4fcEAA,Info Fluency & Acad Integrity,6/26/2017,8/20/2017,
a1C36000004t4iAEAQ,Lead & Prof Ethics,6/26/2017,8/20/2017,
a1C36000004t4gXEAQ,Intro to Envir Sci,6/26/2017,8/20/2017,
a1C36000004tHdFEAU,Intro to Statistics,6/26/2017,8/20/2017,B-
a1C36000004t4h7EAA,Princ of Marketing,6/26/2017,8/20/2017,
a1C36000004tHdZEAU,Student Success Strategies,6/26/2017,8/20/2017,FW
a1C36000004t4hmEAA,Info Fluency & Acad Integrity,6/26/2017,8/20/2017,A
a1C36000004tHdhEAE,Applied Mathematics,6/26/2017,8/20/2017,A
a1C36000004t4i6EAA,Organizational Comm,6/26/2017,8/20/2017,
a1C36000004tHdxEAE,Writing about Literature,6/26/2017,8/20/2017,
a1C36000004t4iIEAQ,Writing about Literature,6/26/2017,8/20/2017,
a1C36000004t4hUEAQ,Applied Mathematics,6/26/2017,8/20/2017,
a1C36000004t4j0EAA,Humanities in Digital Culture,6/26/2017,8/20/2017,C+
a1C36000004t4i5EAA,Sci Writ in Behav & Soc Sci,6/26/2017,8/20/2017,
a1C36000004t4j4EAA,Applied Mathematics,6/26/2017,8/20/2017,
a1C36000004t4ifEAA,Intro to Statistics,6/26/2017,8/20/2017,
a1C36000004tHdJEAU,Earth and Physical Science,6/26/2017,8/20/2017,B+
a1C36000004t4jVEAQ,Public Speaking I,6/26/2017,8/20/2017,
a1C36000004tHdNEAU,Writing about Literature,6/26/2017,8/20/2017,A
a1C36000004tHdEEAU,Child Development,6/26/2017,8/20/2017,A
a1C36000004tHdVEAU,Intro to Statistics,6/26/2017,8/20/2017,C+
a1C36000004tHdIEAU,Writing about Literature,6/26/2017,8/20/2017,A
a1C36000004tHddEAE,Info Fluency & Acad Integrity,6/26/2017,8/20/2017,A
a1C36000004tHdQEAU,Humanities in Digital Culture,6/26/2017,8/20/2017,
a1C36000004tHdlEAE,Writing about Literature,6/26/2017,8/20/2017,A-
a1C36000004tHdUEAU,Writing about Literature,6/26/2017,8/20/2017,
a1C36000004tHdpEAE,Public Speaking I,6/26/2017,8/20/2017,
a1C36000004tHdwEAE,Applied Mathematics,6/26/2017,8/20/2017,A-
a1C36000004tHdtEAE,Intro to Envir Sci,6/26/2017,8/20/2017,A
a1C36000004tqKrEAI,Brandman MyPath Scholarship Program,6/26/2017,7/10/2017,Passed
a1C36000004t4f9EAA,Humanities in Digital Culture,6/26/2017,8/20/2017,B
a1C36000004t4f0EAA,Public Speaking I,6/26/2017,8/20/2017,
a1C36000004t4fwEAA,Info Fluency & Acad Integrity,6/26/2017,8/20/2017,
a1C36000004t4ghEAA,Writing about Literature,6/26/2017,8/20/2017,
a1C36000004t4geEAA,Info Fluency & Acad Integrity,6/26/2017,8/20/2017,
a1C36000004t4glEAA,Humanities in Digital Culture,6/26/2017,8/20/2017,A-
a1C36000004t4hhEAA,Humanities in Digital Culture,6/26/2017,8/20/2017,F
a1C36000004t4hLEAQ,Humanities in Digital Culture,6/26/2017,8/20/2017,
a1C36000004t4hlEAA,Theo & Pract of Lead,6/26/2017,8/20/2017,
a1C36000004t4iOEAQ,Humanities in Digital Culture,6/26/2017,8/20/2017,
a1C36000004t4hpEAA,Humanities in Digital Culture,6/26/2017,8/20/2017,
a1C36000004t4imEAA,Introduction to Biology,6/26/2017,8/20/2017,
a1C36000004t4htEAA,Humanities in Digital Culture,6/26/2017,8/20/2017,D
a1C36000004tHdHEAU,Info Fluency & Acad Integrity,6/26/2017,8/20/2017,B+
a1C36000004tHdcEAE,Organizational Comm,6/26/2017,8/20/2017,B
a1C36000004tHdTEAU,Women's Realities,6/26/2017,8/20/2017,A
a1C36000004tHdkEAE,Writing & Rhetoric,6/26/2017,8/20/2017,A
a1C36000004tHdXEAU,Info Fluency & Acad Integrity,6/26/2017,8/20/2017,A
a1C36000004tHdoEAE,Sci Writ in Behav & Soc Sci,6/26/2017,8/20/2017,B
a1C36000004tHdbEAE,Organizational Behavior,6/26/2017,8/20/2017,B-
a1C36000004tHdsEAE,Applied Mathematics,6/26/2017,8/20/2017,
a1C36000004tHdfEAE,Applied Mathematics,6/26/2017,8/20/2017,A-
a1C36000004t4fiEAA,Public Speaking I,6/26/2017,8/20/2017,
a1C36000004tHdrEAE,Organizational Comm,6/26/2017,8/20/2017,A
a1C36000004t4g3EAA,Humanities in Digital Culture,6/26/2017,8/20/2017,
a1C36000004t4ejEAA,Intro to Envir Sci,6/26/2017,8/20/2017,
a1C36000004t4gFEAQ,Humanities in Digital Culture,6/26/2017,8/20/2017,A-
a1C36000004t4hWEAQ,Humanities in Digital Culture,6/26/2017,8/20/2017,F
a1C36000004t4iaEAA,Liberal Arts Core Found,6/26/2017,8/20/2017,
a1C36000004t4iREAQ,Organizational Comm,6/26/2017,8/20/2017,
a1C36000004t4jIEAQ,Intro to Envir Sci,6/26/2017,8/20/2017,
a1C36000004t4iVEAQ,Writing about Literature,6/26/2017,8/20/2017,
a1C36000004t4jQEAQ,Humanities in Digital Culture,6/26/2017,8/20/2017,
a1C36000004t4jTEAQ,Child Development,6/26/2017,8/20/2017,
a1C36000004tHdLEAU,Intro to Envir Sci,6/26/2017,8/20/2017,A
a1C36000004tHdKEAU,Liberal Arts Core Found,6/26/2017,8/20/2017,
a1C36000004tHdjEAE,Organizational Comm,6/26/2017,8/20/2017,
