,Sf Contact ID,Sf Opportunity ID,Sf Course C ID,Sf Course C Name,Sf Course C Course Start Date C Date,Sf Course C Course End Date C Date,Sf Course C Final Grade C,Sf Opportunity Application Type C,Sf Opportunity Program Category,Sf Opportunity Program C
156,0033600000q4AT2AAM,00636000009RtpDAAS,,,,,,Colorado State University-Global,University,B.S. in Business Management
157,0033600000q4ATMAA2,00636000009RttjAAC,,,,,,Colorado State University-Global,University,B.S. in Project Management
158,0033600000IcAbTAAV,0063600000A0qkwAAB,,,,,,Colorado State University-Global,University,B.S. in Business Management
159,0033600000q4ARzAAM,0063600000A0qm9AAB,,,,,,Colorado State University-Global,University,B.S. in Criminal Justice and Law Enforcement Administration
160,0033600000KfPkwAAF,0063600000A0vauAAB,,,,,,Colorado State University-Global,University,B.S. in Business Management
161,0033600000KfWWTAA3,0063600000A0vg2AAB,,,,,,Colorado State University-Global,University,Principles of Marketing
162,0033600000q4A97AAE,0063600000A1C5iAAF,,,,,,Colorado State University-Global,University,B.S. in Business Management
163,0033600000q4ALmAAM,0063600000A1CQHAA3,,,,,,Colorado State University-Global,University,B.S. in Healthcare Administration and Management
164,0033600000KLTNdAAP,0063600000A1TsOAAV,,,,,,Colorado State University-Global,University,B.S. in Information Technology
165,0033600000L7QzZAAV,0063600000A1kaXAAR,,,,,,Colorado State University-Global,University,B.S. in Information Technology
166,0033600000q4AVNAA2,0063600000A29sMAAR,,,,,,Colorado State University-Global,University,B.S. in Business Management
167,0033600000q4AFVAA2,0063600000A2MPLAA3,,,,,,Colorado State University-Global,University,B.S. in Business Management
168,0033600000q4APZAA2,0063600000A2pDTAAZ,,,,,,Colorado State University-Global,University,B.S. in Marketing
169,0033600000v4jbmAAA,0063600000A2rdXAAR,,,,,,Colorado State University-Global,University,B.S. in Business Management
170,0033600000MVFjzAAH,0063600000A34IRAAZ,,,,,,Guild Education,Credential,Management Training Program - 16 Week
171,0033600000MxJGVAA3,0063600000A9eznAAB,,,,,,Colorado State University-Global,University,B.S. in Information Technology
172,0033600000q4AQIAA2,0063600000A9h7XAAR,,,,,,Colorado State University-Global,University,B.S. in Criminal Justice and Law Enforcement Administration
173,0033600000MyAVQAA3,0063600000A9hCrAAJ,,,,,,Guild Education,Credential,Management Training Program - 8 Week
174,00336000009m0BsAAI,0063600000A9hfuAAB,,,,,,Western Governors University,University,B.A. in Special Education (K-12)
175,0033600000AS4oHAAT,0063600000AA87KAAT,,,,,,Colorado State University-Global,University,B.S. in Accounting
